13,13,13,13,1,11,12,14,10,2,1,13,13,13,13,13,13,13,13,13
13,1,2,1,8,18,19,0,17,18,9,2,1,2,13,13,13,13,13,13
13,8,18,18,19,0,0,0,0,0,17,18,9,16,13,13,13,13,13,13
11,12,0,0,0,0,0,26,0,0,0,0,10,11,11,11,11,11,11,11
18,19,0,0,0,0,0,33,0,0,0,0,17,18,18,18,18,18,18,18
5,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,3
12,0,0,22,23,0,0,0,0,22,23,0,0,0,0,0,0,0,0,10
12,0,0,29,30,0,0,0,0,29,30,0,0,0,0,0,0,0,0,17
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,3
12,0,0,0,0,0,0,0,0,0,0,0,3,4,5,0,0,0,33,10
12,0,0,0,0,0,0,0,0,0,0,0,10,11,12,0,0,0,40,17
12,0,0,0,0,0,22,23,0,0,0,0,17,18,19,0,0,0,0,31
12,0,0,0,0,0,29,30,0,0,0,0,0,0,0,0,0,0,3,4
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,13
12,0,0,0,0,0,0,0,0,0,0,26,0,0,3,4,4,4,16,13
12,0,0,26,0,0,0,0,0,0,0,33,0,0,10,11,11,11,11,11
12,0,0,33,0,0,0,0,0,0,0,40,0,0,17,18,18,18,18,18
12,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
